id,type,text1,text2,text3,notes
sikr_manta,SHIP,"A large carrier with numerous hangar bays and refitting facilities. It can provides ample support to its fleet, with universal mounts suitable for any engagment.",,,
sikr_palace,SHIP,"A palace-ship, from which one can watch a battle in the comfort of a castle and its gardens, protected by an armoured canopy and guaranteed escape to p-space. A true symbol of the hypocrisy of the nobility. Few were built and today there is only one left; the Empress's dedicated ship, which is rarely seen outside major events.",,,
sikr_ocean,SHIP,"Specially designed to go underwater and withstand high pressure, while carrying magnetically locked containers. The Ocean is an engineering marvel, with hangars for escort and tug drones, good armor plating and decent speed. The only drawback is the mandatory use of non-standard containers, a minor problem for the reclusive culture of San-Iris.",,,
,,,,,
sikr_kolga,SHIP,"The light variant of the San-Iris mechs. The Kolga was designed to provide protection against enemy fighters, escort bombers and pressure small ships. All this in a light and quite cheap frame.",,,
sikr_horonn,SHIP,"The Horron was designed as a hunter, carrying two precision rifles with fragmentation bullets. It can easily shoot down other fighters and pose a threat to small ships. Although slightly slow, it only needs to hit its target once or twice.",,,
sikr_hefring,SHIP,"The heavy variant of the San-Iris mechs. The Hefring carries 2 heavy anti-ship weapons, which can counter armor and shields. Equipped with a shield to be able to stay longer in the fight. It is easy to consider this fighter as a mobile artillery piece. ",,,
sikr_jorm,SHIP,"An old LPC from before the standardization of mechs in the San-Iris forces. It has been modified to include a mech-derived joint system, which gives it the ability to aim indepedently with its 2 heavy weapons.",,,
,,,,,
sikr_arti_launcher,WEAPON,A launcher deploying several special canister holding shell in a near critical state. Detonating after some time and targetting the closest enemy. Benefits from ECCM package.,,,
sikr_arti_battery,WEAPON,"A large launcher carrying lotus charges, contains multiple internal rotary magazines that allow the weapon to hold more ammunition. Benefits from ECCM package.",,,
sikr_cluster,WEAPON,Deploys several second stage free flight plasma charged bomblet with a significant EMP charge. Struggles to pierce efficient PD coverage.,,,
sikr_unnr_bi,WEAPON,"An overcharged laser emitter, fires a laser provoking micro explosions periodically. Good against armor and fighter.",,,
sikr_lehal_bi,WEAPON,A deconstructor beam designed to supply an internal autoforge with raw material extracted by damaging a target.,,,
sikr_vine_bi,WEAPON,A heavy autocannon built into the hull for direct access to the internal autoforge and improved recoil control. Fire shell of a higher caliber than expected at a steady rate.,,,
sikr_neolg,WEAPON,"A heavy turet with an impressive turning speed, shoot a special shell that split when closing on target. Designed to primarily deal with small craft, the weapon effectivness is greatly reduced by armor.",,,
sikr_ornnhal,WEAPON,"A missile launcher designed arroud a rotary magazine able to hold multiple missile and quickly reloaded in battle. This weapon can fire an impressive volume of ordnance, but is way less dangerous while reloading.",,,
sikr_rhodophyta,WEAPON,The paranoia of the school of offense towards small craft led to the design of this weapon. The rhodophyta tripwire can easily connect with a small target.,,,
sikr_spear_launcher,WEAPON,"Firing a high density self propelled spear, carrying vast kinetic power and the ability to bounce on shields to strike again multiple times.",,,
sikr_urchin,WEAPON,"A larger variant of the Urchin, launches more flak canister to cover a larger area.",,,
sikr_urchin_small,WEAPON,"A point defense weapon shooting multiple small flak canister around it, creating a large interception area for missile and fighter.",,,
sikr_multishot,WEAPON,"A heavy cannon firing heated bolt at the enemy, large volume of fire with terrible spread, especially in turret mounts. Holds multiple ammo for maximum strike damage.",,,
sikr_multishot_heavy,WEAPON,"A dual firing cannon spewing a large volume of heated bolts at a steady rate, with low per shot flux. Terrible spread, especially in turret mounts.",,,
sikr_fraggun,WEAPON,"A railgun firing a hyper brittle warhead, shattering on impact to deal fragmentation damage. The travel time of the turret was improved to give it anti-fighter capabilities. ",,,
sikr_fraggun_heavy,WEAPON,"A long range railgun that fires a large hyper brittle warhead dealing heavy fragmentation damage on impact. The warhead is decent against shields but really weak against armor, it's true strength lies in the absurd damage the weapon can deal to exposed hull.",,,
sikr_disk_launcher,WEAPON,"Launch small explosive disks capable of readjusting their course in flight. The disks are suprisingly cheap, allowing for a huge volume of fire. Benefits from ECCM package.",,,
sikr_ontos,WEAPON,"Using a recoilless rifle that eliminates the need for a cumbersome recoil control system, makes it possible to mount a heavier caliber than normally used on this size of mount.",,,
sikr_ontos_battery,WEAPON,"A four gun configuration of the Ontos. Taking advantage of reduced stress, more ordnance can by fired than standard on a heavy mount, albeit with a slow reload.",,,
sikr_ogmos,WEAPON,"Essentially a massive autoloader linked to five guns, capable of firing particle charged shells at an impressive rate.",,,
,,,,,
sikr_veko_bi,WEAPON,A support weapon launching a wave of small homing energy bolt.,,,
sikr_veko_bi2,WEAPON,A support weapon launching a wave of small homing energy bolt.,,,
,,,,,
sikr_horonn_pauldronL,WEAPON,"Tiny micro missile housed in the mech's pauldron, used for anti-fighter purpose.",,,
sikr_mech_assault,WEAPON,A hand-held variant of the standard single machine gun.,,,
sikr_mech_rpg,WEAPON,A heavy rocket launcher using modified Mjolnir shell.,,,
sikr_mech_rail,WEAPON,"An impressive railgun for a fighter, deals heavy damage against shield.",,,
sikr_mech_sniper,WEAPON,"A highly accurate rifle, firing explosive shrapnel round, useful for hunting down smaller craft.",,,
sikr_mech_sniper_R,WEAPON,"A highly accurate rifle, firing explosive shrapnel round, useful for hunting down smaller craft.",,,
sikr_mech_multishot,WEAPON,A lightweight variant of the multishot with a smaller magazine.,,,
sikr_kolga_head,WEAPON,"Houses the majority of the Mech's targeting systems. Able to fire a short, high intensity point defense beam.",,,
sikr_horonn_head,WEAPON,"Houses the majority of the Mech's targeting systems. Able to fire a short, high intensity point defense beam.",,,
sikr_hefring_head,WEAPON,"Houses the majority of the Mech's targeting systems. Able to fire a short, high intensity point defense beam.",,,
sikr_jorm_left,WEAPON,"A high rate of fire weapon, every fifth bullet in the belt carries an explosive charge.",,,
sikr_jorm_right,WEAPON,"A high rate of fire weapon, every fifth bullet in the belt carries an explosive charge.",,,
,,,,,
sikr_iris_desc,CUSTOM,"First of the two planets of the system to have been colonized. It is said that the first colonization ship crashed violently into Iris's oceans. And that from it's debris the first city-ship was built, now housing the capital and the imperial palace. It is from here the eternal Empress rules over all...",,,
sikr_lily_desc,CUSTOM,"Although colonization of Lily was projected to occur simultaneously with it's blue twin, the vast majority of development took place on Iris. This left Lily with only basic infrastructure in place. It is only in the last 50 years that great efforts have been made to bring this world to the same level of greatness as Iris.",,,
,,,,,
sikr_leviathan_system_offense,SHIP_SYSTEM,"Accelerates the ship forward while heating the horn, reduces damage taken and increases collision damage.",,,
sikr_leviathan_system_defense,SHIP_SYSTEM,"Generates a regenerative field on the horn, reducing the damage received to a minimum and slowly recovering lost armor.",,,
sikr_unnr_system,SHIP_SYSTEM,"Deploys a large frontal shield to protect allies from damage. The shield stability is restored every second, generating flux. If the shield get overpowered, the ship will overload for a brief moment. The shield takes hard flux damage from all source.",,,
sikr_emp_system,SHIP_SYSTEM,"Generate EMP arc around the ship, can disable engine and weapon. Prioritize missile.",,,
sikr_hefring_drone,SHIP_SYSTEM,Deploys a drone for escort purpose.,,,
sikr_pd_drone,SHIP_SYSTEM,Deploys several escort drones.,,,
sikr_supply,SHIP_SYSTEM,"Fires a long range self propelled supply package to each deployed manned fighter. Restoring half of the target's hull (min 200, max 800).",,,
sikr_fighter_damper,SHIP_SYSTEM,"Emits a dampening field from the carrier, that mitigates incoming damage to all deployed fighters.",,,
sikr_displacer,SHIP_SYSTEM,"Teleports the ship forward in the direction it's traveling. The system slowly builds up to three charges, which can then be expended in short order. Can be used while phased.",,,
sikr_shed_armor,SHIP_SYSTEM,"Regenerates a new layer of armor in an instant. Using the system spends all the current charges (max 10), regenerates 10% of the maximum armor per charge spent, the system loses efficiency with each use no matter how many charges are spent.",,,
sikr_vine_system,SHIP_SYSTEM,"Briefly overcharges the ship's autoforge to lower flux cost, increases rate of fire and deals double energy damage with the main weapon.",,,
,,,,,
sikr_saniris,FACTION,The San-Iris Federation came to be from colonies founded in a peculiar system with two water worlds. The first people to live there sailed the sea on enormous city-ships. Technologies to thrive on their aquatic world were quickly developed and with time the colonies became quite powerful polities in their own right. This rise to power happened outside of the domains gaze since the waterworld were deemed too costly to properly colonize.,"When the collapse occured, San-Iris announced itself to the rest of the sector, raising strange ships from it's blue oceans to sail the stars. Their large fleets are known to be extremely territorial, as is their ruler's isolationist outlook. Initial fears that San-Iris would race to fill the void left by the Domain and announce their grand designs on the Persean Sector went unfounded, they seldom leave their home system to this date.",,
,,,,,
sikr_soda_c,RESOURCE,"A popular soft drink made from 90% pure water from the blessed world. Foreign polities claims that this drink has psychotropic effects, although so far nothing has been proven.","Increases remaining armor fraction, reduce emp damage taken, increase CR.",,
